X,Y,code,abbr,name,state_name
83.834102285733579,26.422320218745163,190,DE,Deoria,Uttar Pradesh
76.463521984903323,26.212021323448454,108,SK,Sawai Madhopur,Rajasthan
92.039976908028009,26.493005358659119,325,DA,Darrang,Assam
86.223946393032563,26.402096502219763,207,MB,Madhubani,Bihar
82.017357998736713,26.276334654421241,179,SU,Sultanpur,Uttar Pradesh
82.671797964957833,26.422764104332273,178,AN,Ambedkar Nagar,Uttar Pradesh
85.306285034747276,26.490998762982223,205,SO,Sheohar,Bihar
84.37539967103352,26.442059572843533,217,GO,Gopalganj,Bihar
81.22919478869683,26.228992642516623,158,RB,Rae Bareli,Uttar Pradesh
87.364662429573087,26.197056800005576,209,AR,Araria,Bihar
86.809925675266271,26.244803764170424,208,SU,Supaul,Bihar
94.192267246835826,26.184534195008631,264,WO,Wokha,Nagaland
75.666647109882391,26.142997350373896,120,TO,Tonk,Rajasthan
87.934759681373009,26.292188908847372,210,KI,Kishanganj,Bihar
91.391309634186655,26.346091238259572,323,NL,Nalbari,Assam
92.315719221388235,26.267416572326756,304,MA,Marigaon,Assam
71.473096580691603,25.733659487531938,115,BM,Barmer,Rajasthan
88.158434268009131,25.883273633869024,330,UD,Uttar Dinajpur,West Bengal
90.98978489687461,26.277077817758773,303,BA,Barpeta,Assam
73.519789051595353,25.706581102354868,118,PA,Pali,Rajasthan
94.88824311623047,26.166841973380155,267,TU,Tuensang,Nagaland
86.053260701441019,26.088565458473951,215,DA,Darbhanga,Bihar
79.387676795600029,26.09085724056526,165,JL,Jalaun,Uttar Pradesh
91.356837644752474,26.079543078003475,321,KR,Kamrup,Assam
83.071071788439426,26.045896840548266,191,AZ,Azamgarh,Uttar Pradesh
85.332166489229309,26.151658867638137,216,MZ,Muzaffarpur,Bihar
90.01950487444725,26.090389195715215,301,DB,Dhubri,Assam
84.387461543467467,26.161225190724398,218,SW,Siwan,Bihar
78.147247281806045,26.039071722299177,421,GW,Gwalior,Madhya Pradesh
91.781767625177253,26.08538427760508,322,KM,Kamrup Metropolitan,Assam
94.492420851944843,26.003611212007119,263,ZU,Zunheboto,Nagaland
83.558785545763115,26.044595498288814,192,MB,Mau,Uttar Pradesh
80.808862846004857,25.873033600414178,172,FT,Fatehpur,Uttar Pradesh
84.824652044347317,25.905811614698298,219,SR,Saran,Bihar
90.58641662936391,26.047950965308932,302,GP,Goalpara,Assam
77.009014955031489,25.75279371740961,418,SP,Sheopur,Madhya Pradesh
82.578038520879389,25.745113643072635,194,JU,Jaunpur,Uttar Pradesh
84.10098004948378,25.876135622514955,193,BL,Ballia,Uttar Pradesh
81.828628913624158,25.87367743016452,173,PR,Pratapgarh,Uttar Pradesh
87.405666273977303,25.812953662900924,211,PU,Purnia,Bihar
86.900364026964795,25.822103054193072,213,MP,Madhepura,Bihar
91.90150720246352,25.854345655853731,297,RB,Ri Bhoi,Meghalaya
85.87325820055716,25.773390064355642,221,SM,Samastipur,Bihar
86.592510059700004,25.813215614710717,214,SH,Saharsa,Bihar
94.824099171050364,25.844693328733257,269,KI,Kiphire,Nagaland
94.104412819463789,25.7602998871157,270,KO,Kohima,Nagaland
85.370823969663249,25.761435158756683,220,VA,Vaishali,Bihar
90.684418336060631,25.729256583062703,294,EG,East Garo Hills,Meghalaya
90.176892759019282,25.615835372122632,293,WG,West Garo Hills,Meghalaya
93.778503531866605,25.761782004944479,265,DI,Dimapur,Nagaland
74.728138702469224,25.479762868477106,122,BW,Bhilwara,Rajasthan
78.952732625829327,25.507103260560513,166,JH,Jhansi,Uttar Pradesh
80.562943438815807,25.465447221792711,170,BN,Banda,Uttar Pradesh
77.806225408193697,25.364762344278418,423,SV,Shivpuri,Madhya Pradesh
83.557456382779989,25.62373704631824,195,GP,Ghazipur,Uttar Pradesh
87.641869945838934,25.54814193797645,212,KT,Katihar,Bihar
75.791448814391387,25.48487404494411,121,BU,Bundi,Rajasthan
94.535525362812749,25.648505182492205,266,PH,Phek,Nagaland
91.261365948739382,25.524147503052856,296,WK,West Khasi Hills,Meghalaya
76.106791594405692,25.10707325284557,127,KO,Kota,Rajasthan
93.034746148103906,25.379295123233138,315,NC,Dima Hasao,Assam
72.212703257736933,25.098311497732151,116,JL,Jalor,Rajasthan
86.131341342130654,25.49501165163376,222,BE,Begusarai,Bihar
81.96335656368403,25.306840995961942,175,AH,Allahabad,Uttar Pradesh
92.382550719921454,25.369351742931716,299,JH,Jaintia Hills,Meghalaya
84.102065401143676,25.491599509103924,232,BU,Buxar,Bihar
84.544572890455811,25.469824719039558,231,BJ,Bhojpur,Bihar
85.224802885906726,25.455239121415833,230,PA,Patna,Bihar
86.603905691263776,25.510825404668218,223,KH,Khagaria,Bihar
94.43129855029494,25.009191841146816,279,UK,Ukhrul,Manipur
93.603142379733825,25.481017252299708,271,PE,Peren,Nagaland
91.802774485765553,25.376205928338621,298,EK,East Khasi Hills,Meghalaya
88.578853406267029,25.364900119592502,331,DD,Dakshin Dinajpur,West Bengal
82.916337918116284,25.387913605280371,197,VA,Varanasi,Uttar Pradesh
90.605006308152426,25.31961540542223,295,SG,South Garo Hills,Meghalaya
81.089211340240183,25.202828692223569,171,CT,Chitrakoot,Uttar Pradesh
88.087858585234372,25.13466655759251,332,MA,Maldah,West Bengal
83.260045322272276,25.140762753546582,196,CD,Chandauli,Uttar Pradesh
82.470473361158099,25.342459044869937,198,SR,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh
87.085116529357151,25.269024564710715,224,BG,Bhagalpur,Bihar
86.528001503952453,25.21084812784494,226,MG,Munger,Bihar
93.526809781185449,24.949526199699875,273,TA,Tamenglong,Manipur
85.452461604415475,25.217465261470032,229,NL,Nalanda,Bihar
76.74948520275413,24.994708737591139,128,BR,Baran,Rajasthan
79.665983539369421,24.796554887959829,425,CT,Chhatarpur,Madhya Pradesh
83.608429693831994,24.991973056380491,233,KM,Kaimur (Bhabua),Bihar
84.027962357014758,24.979044792325467,234,RO,Rohtas,Bihar
87.670191234489636,25.012119642708658,352,SA,Sahibganj,Jharkhand
86.135639109114138,25.158302263159506,227,LA,Lakhisarai,Bihar
85.018586164276456,25.155005505633362,239,JE,Jehanabad,Bihar
84.679194462307734,25.163364811571544,240,AR,Arwal,Bihar
85.839515677814347,25.122300269501309,228,SP,Sheikhpura,Bihar
82.618350839970788,24.983066485082929,199,MI,Mirzapur,Uttar Pradesh
78.563163819012956,24.652303432978258,167,LA,Lalitpur,Uttar Pradesh
81.589707049891885,24.752094421281473,430,RE,Rewa,Madhya Pradesh
86.296213745204895,24.782806264474498,238,JA,Jamui,Bihar
92.855387489506882,24.814019468867137,316,CA,Cachar,Assam
84.410790594988498,24.790401289418487,235,AU,Aurangabad,Bihar
86.839560118965409,24.852890786929976,225,BA,Banka,Bihar
77.195558949343422,24.556371618219927,458,GU,Guna,Madhya Pradesh
85.592816874239972,24.808944345149072,237,NW,Nawada,Bihar
73.691707460918536,24.416474501547071,130,UD,Udaipur,Rajasthan
84.936951934547594,24.696921415433636,236,GA,Gaya,Bihar
93.871141747929045,24.767633008640985,277,WI,Imphal West,Manipur
75.141904508896573,24.591254219979977,432,NE,Neemuch,Madhya Pradesh
77.871333716489289,24.607694882944664,459,AS,Ashoknagar,Madhya Pradesh
92.381586124406681,24.581799756470573,317,KR,Karimganj,Assam
83.054147640620116,24.399937995337115,200,SO,Sonbhadra,Uttar Pradesh
92.587198099158968,24.492365502007626,318,HA,Hailakandi,Assam
76.194864629523551,24.334737425657085,129,JW,Jhalawar,Rajasthan
88.23208501382932,24.165216352744636,333,MSD,Murshidabad,West Bengal
87.661166846308859,24.564147849400847,353,PK,Pakaur,Jharkhand
85.696053876129625,24.503407254461994,348,KO,Kodarma,Jharkhand
86.112192826527675,24.29024003888776,349,GI,Giridih,Jharkhand
75.406244405877572,24.203840695987253,433,MS,Mandsaur,Madhya Pradesh
93.977378482730273,24.531270285831628,276,TH,Thoubal,Manipur
93.799116763474714,24.523592246653344,275,BI,Bishnupur,Manipur
93.424631856478882,24.298466317836692,274,CC,Churachandpur,Manipur
82.417238089555553,24.213592674313329,463,SN,Singrauli,Madhya Pradesh
69.923287082048034,23.627126280762194,468,KA,Kachchh,Gujarat
87.268836332503284,24.319587173874066,362,DU,Dumka,Jharkhand
84.168236393957372,24.195964874299126,358,PL,Palamu,Jharkhand
94.090909548901706,24.225897434201059,280,CD,Chandel,Manipur
86.742468499462262,24.327313124424165,350,DE,Deoghar,Jharkhand
81.829931954526572,24.220942321986797,462,SI,Sidhi,Madhya Pradesh
87.665949677316277,23.95541573928362,334,BI,Birbhum,West Bengal
85.422387063914726,24.070633792445211,360,HA,Hazaribagh,Jharkhand
83.697652508118864,24.104028134939078,346,GA,Garhwa,Jharkhand
92.715752727687033,24.136956421451597,282,KO,Kolasib,Mizoram
92.159511992479551,24.136850450685078,292,NT,North Tripura,Tripura
74.655075094493441,24.029049761190588,131,PG,Pratapgarh,Rajasthan
73.163326351281867,23.658068072310375,472,SK,Sabar Kantha,Gujarat
78.760177625241454,23.848841783657541,427,SG,Sagar,Madhya Pradesh
79.528030752409407,23.812249735148622,428,DA,Damoh,Madhya Pradesh
92.886047887580588,23.841141118143742,283,AI,Aizawl,Mizoram
77.814138726237246,23.891814434230863,443,VI,Vidisha,Madhya Pradesh
76.345239796199976,23.578990694483828,436,SJ,Shajapur,Madhya Pradesh
76.732784163330464,23.861084304638492,442,RG,Rajgarh,Madhya Pradesh
81.475903880590238,23.631371664841232,460,SH,Shahdol,Madhya Pradesh
92.458519943286646,23.743525472039249,281,MA,Mamit,Mizoram
91.93228056214123,23.853477328121095,291,DH,Dhalai,Tripura
91.464636394418889,23.804918318920187,289,WT,West Tripura,Tripura
86.912655570489008,23.973968566073957,363,JA,Jamtara,Jharkhand
80.401449664765408,23.750235140511034,450,KA,Katni,Madhya Pradesh
83.217725280283659,23.357660871896282,401,SJ,Surguja,Chhattisgarh
72.467145365771614,23.611010716966231,471,MA,Mahesana,Gujarat
88.521039760323859,23.479643995906642,336,NA,Nadia,West Bengal
80.976248388918307,23.560681531188809,431,UM,Umaria,Madhya Pradesh
93.228020202079094,23.540797629588248,284,CH,Champhai,Mizoram
86.47125396113583,23.825579980289206,354,DH,Dhanbad,Jharkhand
84.44638117147899,23.715872488555412,359,LA,Latehar,Jharkhand
73.855126011528938,23.732819567606413,124,DU,Dungarpur,Rajasthan
85.995551180027476,23.691208800983798,355,BO,Bokaro,Jharkhand
85.564185828607691,23.633799378540459,361,RM,Ramgarh,Jharkhand
82.236473126218741,23.468704252453627,400,KJ,Koriya,Chhattisgarh
74.362342199966434,23.475487962302502,125,BN,Banswara,Rajasthan
75.089305223238824,23.501579975000116,434,RL,Ratlam,Madhya Pradesh
77.391263322371216,23.469634064238345,444,BP,Bhopal,Madhya Pradesh
87.77244954879059,23.426286595999777,335,BR,Barddhaman,West Bengal
91.607257596147306,23.37451782222653,290,ST,South Tripura,Tripura
75.670051097210489,23.330863406095521,435,UJ,Ujjain,Madhya Pradesh
78.122222301048069,23.219019467950943,446,RS,Raisen,Madhya Pradesh
85.373200073219735,23.329325749572227,364,RA,Ranchi,Jharkhand
86.423747588806648,23.275177571961958,340,PU,Puruliya,West Bengal
84.666481632119542,23.474952295219527,356,LO,Lohardaga,Jharkhand
77.128324552315888,22.987023008911052,445,SR,Sehore,Madhya Pradesh
87.139674588881221,23.138460364114586,339,BN,Bankura,West Bengal
84.534498991030333,23.100330389010363,366,GU,Gumla,Jharkhand
79.975768933403742,23.230389817341614,451,JA,Jabalpur,Madhya Pradesh
72.690714794365121,23.261353034516343,473,GA,Gandhinagar,Gujarat
92.945719970206866,23.284523552577749,285,SE,Serchhip,Mizoram
72.198502489597246,22.71461456899247,474,AH,Ahmadabad,Gujarat
73.659617391693942,22.903524981995879,484,PM,Panch Mahals,Gujarat
81.683148180525691,23.055809741734979,461,AP,Anuppur,Madhya Pradesh
92.711132873603361,22.968578536179042,286,LU,Lunglei,Mizoram
81.050637941843235,22.887493094300442,453,DI,Dindori,Madhya Pradesh
76.458038479400869,22.743397343350804,437,DE,Dewas,Madhya Pradesh
73.016341569034481,22.876783146337516,483,KH,Kheda,Gujarat
85.265583720488564,22.991643313837137,365,KH,Khunti,Jharkhand
79.089190826907952,22.93538859644416,452,NA,Narsimhapur,Madhya Pradesh
88.734760673483407,22.718422746405068,337,PN,North Twenty Four Parganas,West Bengal
83.864646203975781,22.799599294289944,402,JA,Jashpur,Chhattisgarh
74.672391834336807,22.891773210361539,464,JH,Jhabua,Madhya Pradesh
88.081513351596371,22.886355390800453,338,HG,Hugli,West Bengal
80.510745715505635,22.637769565951466,454,ML,Mandla,Madhya Pradesh
85.952755052121944,22.844736996388036,369,WK,Saraikela -Kharsawa,Jharkhand
75.104318157779801,22.497215823018365,438,DH,Dhar,Madhya Pradesh
81.960615607812599,22.349084388593187,406,BI,Bilaspur,Chhattisgarh
75.782873610817973,22.71233118399503,439,IN,Indore,Madhya Pradesh
86.449664076167977,22.577632564537602,357,ES,Purbi Singhbhum,Jharkhand
82.60908727390418,22.533967320099951,404,KB,Korba,Chhattisgarh
77.991662653373311,22.589915347883103,449,HO,Hoshangabad,Madhya Pradesh
79.690749677912009,22.316168964733343,456,SO,Seoni,Madhya Pradesh
87.267225632443541,22.414037236573368,344,PM,Paschim Medinipur,West Bengal
85.511245007244213,22.414002197360176,368,WS,Pashchimi Singhbhum,Jharkhand
84.56526648740676,22.580160267401496,367,SI,Simdega,Jharkhand
