"state","district","long","lat"
"madhya pradesh","katni",80.4014496648,23.7502351405
"madhya pradesh","jabalpur",79.9757689334,23.2303898173
"madhya pradesh","narsimhapur",79.0891908269,22.9353885964
"madhya pradesh","dindori",81.0506379418,22.8874930943
"madhya pradesh","mandla",80.5107457155,22.637769566
"madhya pradesh","chhindwara",78.8557107038,22.1220001618
"madhya pradesh","seoni",79.6907496779,22.3161689647
"madhya pradesh","balaghat",80.3605707633,21.8798481823
"madhya pradesh","guna",77.1955589493,24.5563716182
"madhya pradesh","ashoknagar",77.8713337165,24.6076948829
"madhya pradesh","shahdol",81.4759038806,23.6313716648
"madhya pradesh","anuppur",81.6831481805,23.0558097417
"madhya pradesh","sidhi",81.8299319545,24.220942322
"madhya pradesh","singrauli",82.4172380896,24.2135926743
"madhya pradesh","jhabua",74.6723918343,22.8917732104
"madhya pradesh","alirajpur",74.3647069471,22.3142018113
"madhya pradesh","east nimar",76.5711149005,21.9397259482
"madhya pradesh","burhanpur",76.3704682198,21.3758009671
"gujarat","kachchh",69.923287082,23.6271262808
"gujarat","banas kantha",72.0263029748,24.2867396619
"gujarat","patan",71.7626610823,23.7686210267
"gujarat","mahesana",72.4671453658,23.611010717
"gujarat","gandhinagar",72.6907147944,23.2613530345
"gujarat","porbandar",69.7776497295,21.6537226368
"gujarat","amreli",71.2498752613,21.4238297667
"gujarat","anand",72.7920886754,22.4557027229
"gujarat","dohad",74.1104140911,22.8596858117
"gujarat","narmada",73.645559561,21.7361344112
"gujarat","bharuch",72.916125288,21.7833072695
"gujarat","the dangs",73.7012188159,20.8038154487
"gujarat","navsari",73.0941414401,20.8143281679
"gujarat","valsad",73.1196583905,20.417283559
"gujarat","surat",73.0737820763,21.2671278862
"gujarat","tapi",73.6276954108,21.1920137892
"daman & diu","diu",70.9366095581,20.7198094666
"daman & diu","daman",72.8589897976,20.4129384728
"dadra & nagar haveli","dadra & nagar haveli",73.0706625126,20.194844037
"maharashtra","nandurbar",74.2164520629,21.5467258606
"maharashtra","dhule",74.5995330439,21.1097338437
"maharashtra","jalgaon",75.4877431929,20.9308180107
"maharashtra","buldana",76.407235166,20.5047359231
"maharashtra","akola",77.0560541446,20.7490340962
"maharashtra","washim",77.2150616617,20.2286392537
"maharashtra","amravati",77.5744750593,21.1873616623
"maharashtra","wardha",78.5871586421,20.7970792743
"maharashtra","nagpur",79.0847048851,21.1767601984
"maharashtra","bhandara",79.7592807616,21.1164909951
"maharashtra","gondiya",80.2165786152,21.1620901819
"maharashtra","gadchiroli",80.242725603,19.7877095944
"maharashtra","chandrapur",79.4422821363,20.1165840181
"maharashtra","yavatmal",78.1614643999,20.0816538046
"maharashtra","nanded",77.6157974182,19.1117895266
"maharashtra","hingoli",77.0983290223,19.639746121
"maharashtra","parbhani",76.6919867201,19.2677866015
"maharashtra","jalna",75.9834877616,19.8026245966
"maharashtra","aurangabad",75.2826700201,20.0259458112
"maharashtra","nashik",74.067869726,20.2596117843
"maharashtra","mumbai (suburban)",72.8784892651,19.1430753155
"maharashtra","mumbai",72.8427391804,18.9893018892
"maharashtra","raigarh",73.2261834972,18.509530924
"maharashtra","pune",74.071939794,18.5712869882
"maharashtra","ahmadnagar",74.6730525121,19.2136650956
"maharashtra","bid",75.833621676,18.9508316395
"maharashtra","latur",76.7575080612,18.375770281
"maharashtra","osmanabad",76.033767744,18.1956534813
"maharashtra","solapur",75.4834730209,17.7936259897
"maharashtra","satara",74.1735592607,17.6683402952
"maharashtra","ratnagiri",73.4540181257,17.2746230377
"maharashtra","sindhudurg",73.737760733,16.1323525173
"maharashtra","kolhapur",74.1521740955,16.4899989098
"maharashtra","sangli",74.7945925913,17.113329748
"telangana","adilabad",78.9765318241,19.252876448
"telangana","nizamabad",78.1429296278,18.5245543135
"telangana","karimnagar",79.2349897256,18.5481440104
"telangana","medak",78.2128725765,17.8850584648
"telangana","hyderabad",78.4704140271,17.3977194738
"telangana","rangareddi",78.1725036718,17.2848933337
"telangana","mahbubnagar",78.1478115362,16.4936687994
"telangana","nalgonda",79.2887520234,17.0663856508
"telangana","warangal",79.7989517646,17.9555114423
"telangana","khammam",80.6905197981,17.5944582591
"andhra pradesh","srikakulam",84.0138770807,18.58943992
"andhra pradesh","vizianagaram",83.3876548475,18.459332882
"andhra pradesh","visakhapatnam",82.6847495985,17.8831791048
"andhra pradesh","east godavari",82.0062720338,17.191018771
"andhra pradesh","west godavari",81.4003747575,16.8873630837
"andhra pradesh","krishna",80.7988387606,16.5565077349
"andhra pradesh","guntur",80.0805868371,16.2922831576
"andhra pradesh","prakasam",79.5162974694,15.615710413
"andhra pradesh","nellore",79.98654,14.444338
"andhra pradesh","ysr",78.7821944572,14.4625375714
"andhra pradesh","kurnool",78.0010320015,15.5310762721
"andhra pradesh","anantapur",77.5742413255,14.4805245799
"andhra pradesh","chittoor",79.005894985,13.4637221186
"karnataka","belgaum",74.8238920187,16.1195531317
"karnataka","bagalkot",75.6259028769,16.2199901729
"karnataka","bijapur",75.953183959,16.793685538
"karnataka","bidar",77.2246184734,17.9511102533
"karnataka","raichur",76.89296267,16.0895814619
"karnataka","koppal",76.2221160072,15.5616946852
"karnataka","gadag",75.6659779454,15.4295979469
"karnataka","dharwad",75.153714409,15.3891687374
"karnataka","uttara kannada",74.6201828872,14.7897051996
"karnataka","haveri",75.4160734951,14.7383785103
"karnataka","bellary",76.5333093009,15.1091221326
"karnataka","chitradurga",76.5158545024,14.1666978257
"karnataka","davanagere",75.951390712,14.4019055713
"karnataka","shimoga",75.2200878513,14.0386512373
"karnataka","udupi",74.8734667641,13.4888702725
"karnataka","chikmagalur",75.6920743801,13.4483000561
"karnataka","tumkur",76.9482257542,13.5206460603
"karnataka","bangalore",77.5907874348,12.9498848226
"karnataka","mandya",76.7988523695,12.6108843982
"karnataka","hassan",76.1109721855,12.995088775
"karnataka","dakshina kannada",75.2542093987,12.8456889519
"karnataka","kodagu",75.8009614037,12.3220731512
"karnataka","mysore",76.4399479916,12.2087791751
"karnataka","chamarajanagar",77.0988891934,11.9575516475
"karnataka","gulbarga",76.8696011875,17.2571324307
"karnataka","yadgir",76.9132999781,16.6235015901
"karnataka","kolar",78.2175074861,13.1401469938
"karnataka","chikkaballapura",77.8346551439,13.5787999507
"karnataka","bangalore rural",77.5793096062,13.2249718358
"karnataka","ramanagara",77.3369089576,12.6773436796
"goa","north goa",73.9807764959,15.5515765282
"goa","south goa",74.1180874437,15.1964393353
"lakshadweep","lakshadweep",72.3889330204,11.4935608952
"kerala","kasaragod",75.1455352627,12.4613852628
